date;market;advert;sales_indx;NA_marker;Q_NA_marker;Q_NA
02.01.2008;1;0;1.0;0;0;0
02.01.2008;2;0;1.0;0;0;0
02.01.2008;3;0;1.0;0;0;0
02.01.2008;4;0;1.0;0;0;0
02.01.2008;5;0;1.0;0;0;0
02.01.2008;6;0;1.0;0;0;0
02.01.2008;7;0;1.0;0;0;0
02.01.2008;8;0;1.0;0;0;0
03.01.2008;1;0;;1;1;1
03.01.2008;2;0;1.0069430227768799;0;0;0
03.01.2008;3;0;1.0025948673054599;0;0;0
03.01.2008;4;0;1.00695312308995;0;0;0
03.01.2008;5;0;1.01481910687157;0;0;0
03.01.2008;6;0;;1;1;1
03.01.2008;7;0;1.00898883888573;0;0;0
03.01.2008;8;0;1.00324143720457;0;0;0
04.01.2008;1;0;1.01518832990935;0;1;1
04.01.2008;2;0;;1;1;1
04.01.2008;3;0;1.0435353641688;0;0;0
04.01.2008;4;0;1.0445069401893499;0;0;0
04.01.2008;5;0;1.05086459348142;0;0;0
04.01.2008;6;0;1.02550792320276;0;1;1
04.01.2008;7;0;1.0373374258218901;0;0;0
04.01.2008;8;0;1.02411730371586;0;0;0
05.01.2008;1;0;;1;2;1
05.01.2008;2;0;1.0450759668267;0;1;1
05.01.2008;3;0;;1;1;1
05.01.2008;4;0;1.0802142432448;0;0;0
05.01.2008;5;0;1.071664611743;0;0;0
05.01.2008;6;0;;1;2;1
05.01.2008;7;0;;1;1;1
05.01.2008;8;0;1.02812426008158;0;0;0
06.01.2008;1;0;0.995761664915676;0;2;1
06.01.2008;2;0;1.0009884226971602;0;1;1
06.01.2008;3;0;1.05163332163776;0;1;1
06.01.2008;4;0;1.0563878916026201;0;0;0
06.01.2008;5;0;1.0477561747644302;0;0;0
06.01.2008;6;0;1.00289583125353;0;2;1
06.01.2008;7;0;1.02753834211633;0;1;1
06.01.2008;8;0;0.990432880892748;0;0;0
07.01.2008;1;0;0.99216039384397;0;2;1
07.01.2008;2;0;0.990262043102095;0;1;1
07.01.2008;3;0;1.04753561208408;0;1;1
07.01.2008;4;0;1.0504917193230199;0;0;0
07.01.2008;5;0;1.0372431419877;0;0;0
07.01.2008;6;0;1.0036889773706898;0;2;1
07.01.2008;7;0;1.02562721397937;0;1;1
07.01.2008;8;0;;1;1;1
08.01.2008;1;0;1.00467430972234;0;2;1
08.01.2008;2;0;0.98962803709524;0;1;1
08.01.2008;3;0;1.0559136696101;0;1;1
08.01.2008;4;0;;1;1;1
08.01.2008;5;0;1.04424573826842;0;0;0
08.01.2008;6;0;1.00662446514148;0;2;1
08.01.2008;7;0;1.01979646345247;0;1;1
08.01.2008;8;0;0.963007787936963;0;1;1
09.01.2008;1;0;1.0147551987378;0;2;1
09.01.2008;2;0;0.9977156965440629;0;1;1
09.01.2008;3;0;1.06308481212157;0;1;1
09.01.2008;4;0;1.06675828274873;0;1;1
09.01.2008;5;0;;1;1;1
09.01.2008;6;0;1.00316028811837;0;2;1
09.01.2008;7;0;1.0150789875525301;0;1;1
09.01.2008;8;0;0.9621216668443809;0;1;1
10.01.2008;1;0;;1;3;1
10.01.2008;2;0;1.01397504419479;0;1;1
10.01.2008;3;0;1.06688155718079;0;1;1
10.01.2008;4;0;1.07936802099923;0;1;1
10.01.2008;5;0;;1;2;1
10.01.2008;6;0;1.01294672878848;0;2;1
10.01.2008;7;0;1.00610419962451;0;1;1
10.01.2008;8;0;;1;2;1
11.01.2008;1;0;;1;4;1
11.01.2008;2;0;;1;2;1
11.01.2008;3;0;;1;2;1
11.01.2008;4;0;1.11212681046232;0;1;1
11.01.2008;5;0;1.0893546451090101;0;2;1
11.01.2008;6;0;1.0489532579694398;0;2;1
11.01.2008;7;0;1.03133351139026;0;1;1
11.01.2008;8;0;0.9941501532209541;0;2;1
12.01.2008;1;0;1.0755066816988599;0;4;1
12.01.2008;2;0;1.0468171455908901;0;2;1
12.01.2008;3;0;1.13294175676884;0;2;1
12.01.2008;4;0;1.11176620690092;0;1;1
12.01.2008;5;0;1.10356940749293;0;2;1
12.01.2008;6;0;1.05960163580889;0;2;1
12.01.2008;7;0;1.02553716167711;0;1;1
12.01.2008;8;0;;1;3;1
13.01.2008;1;0;;1;5;1
13.01.2008;2;0;;1;3;1
13.01.2008;3;0;1.1109006413323201;0;2;1
13.01.2008;4;0;1.09333639005015;0;1;1
13.01.2008;5;0;1.06903551500466;0;2;1
13.01.2008;6;0;;1;3;1
13.01.2008;7;0;;1;2;1
13.01.2008;8;0;0.9745556562210649;0;3;1
14.01.2008;1;0;;1;6;1
14.01.2008;2;0;1.02286831973409;0;3;1
14.01.2008;3;0;1.11540738508275;0;2;1
14.01.2008;4;0;1.0998760685063897;0;1;1
14.01.2008;5;0;1.05236167640713;0;2;1
14.01.2008;6;0;1.03272994432928;0;3;1
14.01.2008;7;0;0.9645931825703129;0;2;1
14.01.2008;8;0;0.970526767459269;0;3;1
15.01.2008;1;0;1.03927891978828;0;6;1
15.01.2008;2;0;1.0338748958644999;0;3;1
15.01.2008;3;0;;1;3;1
15.01.2008;4;0;1.09251400760629;0;1;1
15.01.2008;5;0;1.03854422259999;0;2;1
15.01.2008;6;0;1.03065724186925;0;3;1
15.01.2008;7;0;0.970722591189968;0;2;1
15.01.2008;8;0;0.96062056139606;0;3;1
16.01.2008;1;0;1.06118056146565;0;6;1
16.01.2008;2;0;1.06229495342134;0;3;1
16.01.2008;3;0;;1;4;1
16.01.2008;4;0;1.10542316210669;0;1;1
16.01.2008;5;0;1.03621085097262;0;2;1
16.01.2008;6;0;;1;4;1
16.01.2008;7;0;;1;3;1
16.01.2008;8;0;0.9719419513066558;0;3;1
17.01.2008;1;0;1.06627539806884;0;6;1
